FIRMDUM1,FIRMDUM2,FIRMDUM3,FIRMDUM4,FIRMDUM5,FIRMDUM6,FIRMDUM7,InFreqGT1Deg,InCloseGT1Deg,RCP1,RCP2,RCP3,RWD1,RWD2,RWD3,RWD4,KTF1,KTF2,KTF3,KTF4,KTF5,KTF6,TNR,CMPTNR,JOBTNR,SEX,AGE,RCP,RWD,KTF,OutGT1OutExpAvg,Centrality
0,0,1,0,0,0,0,66.6666641235352,95.8333358764648,7,7,7,5,6,6,6,5,5,5,6,6,6,193,82,193,1,45,7,5.75,5.5,2.625,81.25
0,0,1,0,0,0,0,54.1666679382324,91.6666641235352,6,6,6,4,4,4,4,5,6,7,7,7,7,216,12,12,1,44,6,4,6.5,3.333333333,72.9166660308838
0,0,1,0,0,0,0,75,95.8333358764648,5,5,5,4,4,4,4,6,6,6,6,6,6,132,42,84,1,40,5,4,6,4,85.4166679382324
0,0,1,0,0,0,0,75,95.8333358764648,6,6,6,4,5,4,4,4,5,5,5,5,4,170,41,41,1,40,6,4.25,4.666666666666667,3.625,85.4166679382324
0,0,1,0,0,0,0,70.8333358764648,95.8333358764648,7,7,7,7,6,5,7,7,7,7,7,7,7,102,36,36,1,37,7,6.25,7,2.291666667,83.3333358764648
0,0,1,0,0,0,0,87.5,95.8333358764648,5,5,5,3,3,4,3,4,4,4,4,4,4,61,16,16,1,29,5,3.25,4,3.555555556,91.6666679382324
0,0,1,0,0,0,0,66.6666641235352,95.8333358764648,7,7,7,4,3,5,2,2,1,5,5,6,3,60,60,60,1,30,7,3.5,3.6666666666666665,3.636363636,81.25
0,0,1,0,0,0,0,91.6666641235352,100,7,7,7,5,5,6,4,6,4,7,4,7,7,78,68,56,1,30,7,5,5.833333333333333,2.125,95.8333320617676
0,0,1,0,0,0,0,54.1666679382324,100,6,6,4,3,3,4,4,3,2,5,6,6,4,8,8,5,1,27,5.333333333333333,3.5,4.333333333333333,4.25,77.0833339691162
0,0,1,0,0,0,0,70.8333358764648,87.5,6,6,6,5,3,4,2,3,3,4,4,6,5,168,30,30,1,40,6,3.5,4.166666666666667,2.208333333,79.1666679382324
0,0,1,0,0,0,0,75,95.8333358764648,6,6,6,4,4,4,4,4,4,6,6,6,6,122,59,122,1,36,6,4,5.333333333333333,3.208333333,85.4166679382324
0,0,1,0,0,0,0,62.5,95.8333358764648,6,6,6,5,6,6,6,3,5,6,6,6,6,158,68,158,1,38,6,5.75,5.333333333333333,2.416666667,79.1666679382324
0,0,1,0,0,0,0,79.1666641235352,100,6,6,6,4,4,4,5,4,6,6,6,6,5,181,27,27,1,40,6,4.25,5.5,2.125,89.5833320617676
0,0,1,0,0,0,0,66.6666641235352,100,5,5,5,3,4,3,1,2,3,6,5,6,4,37,37,37,1,29,5,2.75,4.333333333333333,1.565217391,83.3333320617676
0,0,1,0,0,0,0,66.6666641235352,100,7,7,7,4,4,4,4,2,4,5,5,7,6,49,49,24,1,30,7,4,4.833333333333333,3.75,83.3333320617676
0,0,1,0,0,0,0,62.5,100,6,6,6,4,4,4,3,2,4,5,6,5,5,85,16,85,1,32,6,3.75,4.5,3.25,81.25
0,0,1,0,0,0,0,62.5,95.8333358764648,6,6,6,6,5,4,3,4,4,7,6,7,6,122,47,122,1,35,6,4.5,5.666666666666667,2.375,79.1666679382324
0,0,1,0,0,0,0,50,100,6,5,6,5,4,4,4,5,5,5,6,5,5,20,20,18,1,28,5.666666666666667,4.25,5.166666666666667,2.833333333,75
0,0,1,0,0,0,0,45.8333320617676,95.8333358764648,4,3,4,5,3,3,3,5,3,6,6,6,6,34,20,34,1,30,3.6666666666666665,3.5,5.333333333333333,4.666666667,70.8333339691162
0,0,1,0,0,0,0,50,95.8333358764648,6,7,7,5,5,5,4,3,5,7,7,7,6,188,66,66,1,38,6.666666666666667,4.75,5.833333333333333,3.555555556,72.9166679382324
0,0,1,0,0,0,0,75,95.8333358764648,5,5,5,5,3,3,3,4,5,6,6,6,6,181,36,36,1,41,5,3.5,5.5,2.833333333,85.4166679382324
0,0,1,0,0,0,0,75,95.8333358764648,6,6,6,5,4,5,5,5,5,5,6,6,6,106,51,106,1,35,6,4.75,5.5,2,85.4166679382324
0,0,1,0,0,0,0,70.8333358764648,100,5,5,5,3,3,4,3,3,3,6,6,6,6,54,54,54,1,32,5,3.25,5,4.625,85.4166679382324
0,0,0,1,0,0,0,44.680850982666,78.7234039306641,6,5,7,3,4,5,5,2,4,5,5,7,5,134,3,96,1,31,6,4.25,4.666666666666667,3.777777778,61.70212745666505
0,0,0,1,0,0,0,44.680850982666,93.6170196533203,6,6,6,4,6,4,3,3,5,4,3,6,6,110,54,110,1,37,6,4.25,4.5,1.70212766,69.14893531799315
